fish,state,avgF,runLength,start,end
Red king crab Pribilof Islands,Stable,NA,29,1981,2009
Red porgy Southern Atlantic coast,Stable,0.11445000000000001,10,1972,1981
Red porgy Southern Atlantic coast,Decline,0.44499999999999995,7,1982,1988
Red porgy Southern Atlantic coast,Stable,0.37319130434782605,23,1989,2011
Red snapper Gulf of Mexico,Stable,0.06622222222222222,90,1872,1961
Red snapper Gulf of Mexico,Decline,1.04,9,1962,1970
Red snapper Gulf of Mexico,Stable,1.5778048780487803,41,1971,2011
Red snapper Southern Atlantic coast,Stable,0.10919999999999999,15,1955,1969
Red snapper Southern Atlantic coast,Decline,0.2605,8,1970,1977
Red snapper Southern Atlantic coast,Stable,0.59159375,32,1978,2009
Redfish species NAFO 3LN,Stable,0.12421428571428572,28,1959,1986
Redfish species NAFO 3LN,Decline,0.4232,5,1987,1991
Redfish species NAFO 3LN,Stable,0.3196666666666667,3,1992,1994
Redfish species NAFO 3LN,Recover,0.0126,5,1995,1999
Redfish species NAFO 3LN,Stable,NA,9,2000,2008
Sailfish Eastern Atlantic,Stable,NA,22,1957,1978
Sailfish Eastern Atlantic,Decline,NA,18,1979,1996
Sailfish Eastern Atlantic,Stable,NA,12,1997,2008
Sailfish Western Atlantic,Stable,NA,42,1957,1998
Sailfish Western Atlantic,Decline,NA,9,1999,2007
Sailfish Western Atlantic,Stable,NA,1,2008,2008
Sandbar shark Atlantic,Stable,0.16657142857142856,14,1975,1988
Sandbar shark Atlantic,Decline,0.12490000000000001,10,1989,1998
Sandbar shark Atlantic,Stable,0.08383333333333333,6,1999,2004
Sardinella West Africa,Stable,0.42933333333333334,15,1990,2004
Sardinella West Africa,Recover,0.5966666666666667,3,2005,2007
Sardinella West Africa,Stable,0.6266666666666666,3,2008,2010
School whiting Southeast Australia,Stable,NA,52,1945,1996
School whiting Southeast Australia,Decline,NA,3,1997,1999
School whiting Southeast Australia,Stable,NA,8,2000,2007
Scup Atlantic Coast,Stable,0.7309375,16,1984,1999
Scup Atlantic Coast,Recover,0.121,5,2000,2004
Scup Atlantic Coast,Stable,0.057333333333333326,3,2005,2007
Sea scallop Georges Bank and Mid-Atlantic Bight,Stable,0.68,23,1975,1997
Sea scallop Georges Bank and Mid-Atlantic Bight,Recover,0.5133333333333333,3,1998,2000
Sea scallop Georges Bank and Mid-Atlantic Bight,Stable,0.43153846153846154,13,2001,2013
Shallow-water cape hake South Africa,Stable,NA,37,1917,1953
Shallow-water cape hake South Africa,Decline,NA,4,1954,1957
Shallow-water cape hake South Africa,Stable,NA,4,1958,1961
Shallow-water cape hake South Africa,Recover,NA,17,1962,1978
Shallow-water cape hake South Africa,Stable,NA,35,1979,2013
Snowy grouper Southern Atlantic coast,Stable,0.08512857142857143,7,1974,1980
Snowy grouper Southern Atlantic coast,Decline,0.3511666666666667,12,1981,1992
Snowy grouper Southern Atlantic coast,Stable,NA,21,1993,2013
Southern bluefin tuna Southern Oceans,Stable,NA,30,1950,1979
Southern bluefin tuna Southern Oceans,Decline,NA,11,1980,1990
Southern bluefin tuna Southern Oceans,Stable,NA,21,1991,2011
Southern hake Chatham Rise,Stable,NA,35,1975,2009
Striped marlin North Pacific,Stable,0.3627222222222222,36,1952,1987
Striped marlin North Pacific,Decline,0.6685454545454546,11,1988,1998
Striped marlin North Pacific,Stable,0.6818333333333334,6,1999,2004
Striped marlin Western and Central North Pacific,Stable,0.7237368421052631,19,1975,1993
Striped marlin Western and Central North Pacific,Decline,0.908,3,1994,1996
Striped marlin Western and Central North Pacific,Stable,0.8717142857142858,14,1997,2010
Summer flounder Mid-Atlantic Coast,Stable,0.7846774193548387,31,1982,2012
Tanner crab Bering Sea and Aleutian Islands,Stable,NA,8,1949,1956
Tanner crab Bering Sea and Aleutian Islands,Recover,NA,7,1957,1963
Tanner crab Bering Sea and Aleutian Islands,Stable,NA,29,1964,1992
Tanner crab Bering Sea and Aleutian Islands,Decline,0.34650000000000003,4,1993,1996
Tanner crab Bering Sea and Aleutian Islands,Stable,0,3,1997,1999
Tanner crab Bering Sea and Aleutian Islands,Recover,0,4,2000,2003
Tanner crab Bering Sea and Aleutian Islands,Stable,0.025777777777777774,9,2004,2012
Tiger flathead Southeast Australia,Stable,NA,31,1913,1943
Tiger flathead Southeast Australia,Decline,NA,5,1944,1948
Tiger flathead Southeast Australia,Stable,NA,1,1949,1949
Tiger flathead Southeast Australia,Recover,NA,30,1950,1979
Tiger flathead Southeast Australia,Stable,NA,27,1980,2006
Tilefish Mid-Atlantic Coast,Stable,0.2604545454545455,11,1971,1981
Tilefish Mid-Atlantic Coast,Decline,0.8688333333333333,6,1982,1987
Tilefish Mid-Atlantic Coast,Stable,0.7441333333333333,15,1988,2002
Tilefish Mid-Atlantic Coast,Recover,0.36288888888888887,9,2003,2011
Tilefish Mid-Atlantic Coast,Stable,0.275,1,2012,2012
Walleye pollock Eastern Bering Sea,Stable,NA,15,1964,1978
Walleye pollock Eastern Bering Sea,Recover,0.318,3,1979,1981
Walleye pollock Eastern Bering Sea,Stable,0.19169354838709676,31,1982,2012
Walleye pollock Gulf of Alaska,Stable,0.1533,20,1977,1996
Walleye pollock Gulf of Alaska,Decline,0.2025,6,1997,2002
Walleye pollock Gulf of Alaska,Recover,0.10975,8,2003,2010
Walleye pollock Gulf of Alaska,Stable,0.108,3,2011,2013
Walleye pollock Western Bering Sea,Stable,NA,24,1970,1993
Walleye pollock Western Bering Sea,Decline,NA,6,1994,1999
Walleye pollock Western Bering Sea,Stable,NA,1,2000,2000
Walleye pollock Western Bering Sea,Recover,NA,4,2001,2004
Walleye pollock Western Bering Sea,Stable,NA,4,2005,2008
Weakfish Atlantic Coast,Stable,NA,6,1981,1986
Weakfish Atlantic Coast,Decline,NA,3,1987,1989
Weakfish Atlantic Coast,Recover,NA,5,1990,1994
Weakfish Atlantic Coast,Stable,NA,2,1995,1996
Weakfish Atlantic Coast,Decline,NA,5,1997,2001
Weakfish Atlantic Coast,Stable,NA,7,2002,2008
White hake Georges Bank / Gulf of Maine,Stable,0.19533333333333333,6,1963,1968
White hake Georges Bank / Gulf of Maine,Recover,0.1155,6,1969,1974
White hake Georges Bank / Gulf of Maine,Stable,0.16566666666666666,6,1975,1980
White hake Georges Bank / Gulf of Maine,Decline,0.4,13,1981,1993
White hake Georges Bank / Gulf of Maine,Stable,0.3542142857142857,14,1994,2007
White marlin Atlantic,Stable,NA,17,1956,1972
White marlin Atlantic,Decline,NA,24,1973,1996
White marlin Atlantic,Stable,NA,14,1997,2010
Windowpane Southern New England-Mid Atlantic,Stable,NA,13,1975,1987
Windowpane Southern New England-Mid Atlantic,Decline,NA,5,1988,1992
Windowpane Southern New England-Mid Atlantic,Stable,NA,4,1993,1996
Windowpane Southern New England-Mid Atlantic,Recover,NA,4,1997,2000
Windowpane Southern New England-Mid Atlantic,Stable,NA,7,2001,2007
Winter Flounder NAFO-5Z,Stable,0.419,1,1982,1982
Winter Flounder NAFO-5Z,Decline,0.7786666666666666,6,1983,1988
Winter Flounder NAFO-5Z,Stable,0.6794285714285715,7,1989,1995
Winter Flounder NAFO-5Z,Recover,0.42075,4,1996,1999
Winter Flounder NAFO-5Z,Decline,0.547,4,2000,2003
Winter Flounder NAFO-5Z,Stable,0.31685714285714284,7,2004,2010
Witch Flounder NAFO-5Y,Stable,0.38,2,1982,1983
Witch Flounder NAFO-5Y,Decline,0.47300000000000003,10,1984,1993
Witch Flounder NAFO-5Y,Stable,0.6807142857142857,14,1994,2007
Yelloweye rockfish Pacific Coast,Stable,NA,71,1916,1986
Yelloweye rockfish Pacific Coast,Decline,NA,9,1987,1995
Yelloweye rockfish Pacific Coast,Stable,NA,16,1996,2011
Yellowfin sole Bering Sea and Aleutian Islands,Stable,0.41250000000000003,12,1964,1975
Yellowfin sole Bering Sea and Aleutian Islands,Recover,0.11,3,1976,1978
Yellowfin sole Bering Sea and Aleutian Islands,Stable,0.07548387096774194,31,1979,2009
Yellowtail Flounder NAFO 3LNO,Stable,0.1427142857142857,7,1965,1971
Yellowtail Flounder NAFO 3LNO,Decline,0.548,4,1972,1975
Yellowtail Flounder NAFO 3LNO,Stable,0.38530000000000003,20,1976,1995
Yellowtail Flounder NAFO 3LNO,Recover,0.027,3,1996,1998
Yellowtail Flounder NAFO 3LNO,Stable,0.1021,10,1999,2008
